Date,Price,Open,High,Low,Volume,Chg%
4-Mar-19,70.91,70.815,70.923,70.8,0,-0.13%
1-Mar-19,71,70.811,71,70.715,0,0.23%
28-Feb-19,70.84,71.231,71.271,70.713,0,-0.51%
27-Feb-19,71.2,71.01,71.491,70.929,0,0.34%
26-Feb-19,70.96,70.829,71.346,70.809,0,0.18%
25-Feb-19,70.834,71.034,71.102,70.827,0,-0.28%
22-Feb-19,71.035,71.195,71.265,71.035,0,-0.18%
21-Feb-19,71.165,71.061,71.28,70.925,0,0.22%
20-Feb-19,71.01,71.32,71.344,70.933,0,-0.41%
19-Feb-19,71.3,71.351,71.602,71.251,0,-0.12%
18-Feb-19,71.387,71.335,71.537,71.326,0,0.08%
15-Feb-19,71.33,71.028,71.464,71.028,0,0.44%
14-Feb-19,71.02,70.869,71.233,70.8,0,0.20%
13-Feb-19,70.875,70.541,70.88,70.397,0,0.48%
12-Feb-19,70.535,71.254,71.254,70.515,0,-0.85%
11-Feb-19,71.14,71.24,71.301,71.038,0,-0.05%
8-Feb-19,71.175,71.395,71.434,71.015,0,-0.18%
7-Feb-19,71.3,71.639,71.769,71.271,0,-0.35%
6-Feb-19,71.55,71.52,71.683,71.492,0,0.03%
5-Feb-19,71.53,71.714,71.812,71.528,0,-0.25%
4-Feb-19,71.71,71.469,71.845,71.462,0,0.38%
1-Feb-19,71.435,71.115,71.485,70.952,0,0.67%
31-Jan-19,70.96,70.959,71.215,70.865,0,-0.39%
30-Jan-19,71.235,71.423,71.423,71.123,0,-0.22%
29-Jan-19,71.39,71.085,71.461,71.026,0,0.45%
28-Jan-19,71.07,70.92,71.196,70.915,0,0.24%
25-Jan-19,70.9,71.04,71.25,70.89,0,-0.14%
24-Jan-19,71,71.147,71.315,70.955,0,-0.27%
23-Jan-19,71.19,71.24,71.37,71.115,0,-0.10%
22-Jan-19,71.26,71.197,71.466,71.165,0,0.10%
21-Jan-19,71.188,71.205,71.538,71.14,0,-0.03%
